price,area,bhk,bathroom
6440000.000000001,1171,2,1.0
10900000.0,1998,3,1.0
7711000.0,1402,2,1.0
8019000.0,1458,2,1.0
7067000.0,1285,2,1.0
14100000.0,2580,4,1.0
9091000.0,1653,3,1.0
12900000.0,2357,3,1.0
9130000.0,1660,3,1.0
8079000.000000001,1469,2,1.0
6952000.0,1264,2,1.0
6589000.0,1198,2,1.0
6425000.0,1737,3,1.0
6066000.0,1640,3,1.0
5722000.0,1547,3,1.0
5859000.0,1584,3,1.0
5500000.0,1487,3,1.0
5885000.0,1591,3,1.0
29800000.0,1890,3,1.0
12100000.0,2583,4,2.0
29200000.0,5037,5,1.0
12300000.0,2635,4,4.0
29500000.0,5093,5,1.0
8599000.0,1865,3,3.0
8500000.0,1635,3,1.0
6498999.999999999,1274,2,2.0
13500000.0,2323,4,1.0
9950000.0,1914,3,3.0
6530000.0,1280,2,1.0
6770000.0,1328,2,2.0
13800000.0,2372,4,1.0
7789000.0,1528,3,2.0
7879000.000000001,1530,3,1.0
8230000.0,1599,3,1.0
6550000.0,1472,3,1.0
9523000.0,2140,4,1.0
3715000.0,835,2,1.0
5847000.0,1314,3,1.0
7925000.0,1781,3,1.0
7973999.999999999,1792,3,1.0
7400000.0,1605,3,1.0
7916000.0,1616,3,2.0
7500000.0,1626,3,1.0
12200000.0,1882,3,1.0
7948999.999999999,1223,2,1.0
8424000.0,1296,2,1.0
9561000.0,1471,3,1.0
11700000.0,1807,3,1.0
9600000.0,1477,3,1.0
12100000.0,1871,3,1.0
7930000.0,1220,2,1.0
12600000.0,1947,3,1.0
9210000.0,1417,3,1.0
7884000.0,1213,2,1.0
7761000.0,1194,2,1.0
12400000.0,1922,3,1.0
8156999.999999999,1255,2,1.0
8248000.0,1269,2,1.0
12500000.0,1925,3,1.0
9932000.0,1528,3,1.0
9074000.0,1396,3,2.0
9100000.0,1400,3,1.0
3261999.9999999995,989,2,2.0
3331000.0,1010,2,1.0
3833000.0,1162,3,1.0
4592000.0,1392,3,1.0
2104000.0,638,1,1.0
2068000.0,627,1,1.0
5956000.0,1083,2,1.0
5159000.0,938,2,1.0
5362000.0,975,2,1.0
8745000.0,1590,3,1.0
5357000.0,974,2,1.0
8772000.0,1595,3,1.0
5582000.0,1015,2,1.0
8068000.000000001,1467,3,1.0
19100000.0,1235,3,1.0
5712000.0,985,2,1.0
5741000.0,990,2,1.0
6291000.0,1085,2,1.0
5625000.0,970,2,1.0
5683000.0,980,2,1.0
3099000.0,638,2,1.0
5922000.0,1245,3,1.0
4347000.0,895,2,1.0
6155000.0,1294,3,1.0
5832000.0,1226,3,1.0
4979000.0,1025,2,1.0
4683000.0,964,2,1.0
5884000.0,1237,3,1.0
6992000.0,1470,3,3.0
4464000.0,919,2,2.0
6388000.0,1343,3,1.0
6074000.0,1277,3,1.0
4459000.0,918,2,1.0
4590000.0,945,2,1.0
3138000.0,646,2,1.0
5998000.0,1261,3,3.0
6322000.0,1329,3,3.0
5698000.0,1198,3,3.0
4765000.0,981,2,1.0
8488000.0,1307,3,1.0
3377000.0000000005,538,1,1.0
8534000.0,1314,3,1.0
6670000.0,1027,2,1.0
8820000.0,1358,3,1.0
6650000.0,1024,2,1.0
17400000.0,2686,4,1.0
10100000.0,1561,3,1.0
8417000.0,1296,3,1.0
10100000.0,1566,3,1.0
11800000.0,1829,3,1.0
10100000.0,1564,3,1.0
8755000.0,1348,3,1.0
12600000.0,1944,3,1.0
17100000.0,2640,4,1.0
3446000.0,549,1,1.0
17000000.0,2630,4,1.0
16900000.0,2616,4,1.0
10300000.0,1599,3,1.0
8009000.0,1045,2,1.0
4719000.0,640,1,1.0
8220999.999999999,1075,2,1.0
6909999.999999999,890,2,1.0
8505000.0,1115,2,1.0
7442000.0,965,2,1.0
11500000.0,1290,3,1.0
9120000.0,1010,2,1.0
7690000.000000001,1000,2,1.0
11400000.0,1275,3,1.0
11800000.0,1315,3,1.0
12000000.0,1320,3,1.0
11500000.0,1290,3,1.0
9120000.0,1010,2,1.0
6318000.0,1011,2,1.0
6318000.0,1011,2,1.0
5481000.0,877,2,1.0
5481000.0,877,2,1.0
6275000.0,1004,2,1.0
6318000.0,1011,2,1.0
6275000.0,1004,2,1.0
5481000.0,877,2,1.0
6318000.0,1011,2,1.0
5787000.0,926,2,1.0
5481000.0,877,2,1.0
5787000.0,926,2,1.0
11500000.0,1385,3,1.0
11000000.0,1320,3,1.0
8873000.0,1050,2,1.0
8287000.0,975,2,1.0
4707000.0,585,1,1.0
8678000.0,1025,2,1.0
12400000.0,1500,3,1.0
1283000.0,391,1,1.0
2100000.0,667,2,1.0
2097000.0,666,2,1.0
2077000.0,659,2,1.0
1289000.0,394,1,1.0
2219000.0,707,2,1.0
2121000.0,674,2,1.0
8413000.0,1325,2,1.0
8413000.0,1325,2,1.0
7334000.0,1155,2,1.0
7334000.0,1155,2,1.0
7320999.999999999,1153,2,1.0
7320999.999999999,1153,2,1.0
9842000.0,1550,3,3.0
9842000.0,1550,3,3.0
8369000.0,1318,2,1.0
8369000.0,1318,2,1.0
7345999.999999999,1157,2,1.0
7345999.999999999,1157,2,1.0
7340000.000000001,1156,2,1.0
7340000.000000001,1156,2,1.0
9906000.0,1560,3,1.0
9906000.0,1560,3,1.0
